City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
570,Helmstedt,DE,69.22,light rain,52.2279,11.0099,Best Western Hotel Helmstedt am Lappwald
574,Morelia,MX,72.7,overcast clouds,19.7008,-101.1844,"Hotel Alameda Morelia, Centro Histórico"
575,Dillon,US,76.95,light rain,34.4166,-79.3712,Dillon Express Inn
580,Thunder Bay,CA,71.58,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
581,Kieta,PG,78.85,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
582,Oranjestad,AW,84.9,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
586,Portland,US,82.53,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
589,Lamar,US,84.63,clear sky,33.6668,-95.5836,Kings Inn Paris TX
590,Caruray,PH,80.01,overcast clouds,10.3094,119.0128,
593,Canmore,CA,84.76,clear sky,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
595,Darnah,LY,68.56,clear sky,32.767,22.6367,فندق الفردوس
597,Bontang,ID,80.44,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
600,Ramanuj Ganj,IN,84.42,scattered clouds,23.8,83.7,HOTEL SAI SIDDHI
603,Mabaruma,GY,77.02,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
604,Tocopilla,CL,67.12,overcast clouds,-22.092,-70.1979,Hotel Galvarino
605,Radcliff,US,75.34,few clouds,37.8404,-85.9491,Super 8 by Wyndham Radcliff Ft. Knox Area
607,Soure,BR,80.24,few clouds,-0.7167,-48.5233,Casarão da Amazônia
611,Mao,ES,68.56,few clouds,39.8885,4.2658,ARTIEM Capri
612,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
615,Ilheus,BR,82.22,few clouds,-14.7889,-39.0494,Barravento Hotel
618,Marysville,US,80.82,few clouds,48.0518,-122.1771,"Holiday Inn Express & Suites Marysville, an IHG Hotel"
619,Abu Samrah,SY,66.61,clear sky,35.3029,37.1841,
620,Tamandare,BR,77.85,few clouds,-8.7597,-35.1047,Pousada 100 Passos
621,Roald,NO,72.52,clear sky,62.5833,6.1333,Flem Cabins
624,Westport,US,73.27,mist,41.1415,-73.3579,The Westport Inn
625,Takestan,IR,73.53,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
626,Tarakan,ID,81.21,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
628,Puro,PH,82.36,overcast clouds,12.4841,123.3827,
629,Huilong,CN,66.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
631,Quartucciu,IT,70.88,clear sky,39.2519,9.1794,HINTERLAND HOTEL
633,Chateaubelair,VC,84.81,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
634,Kobayashi,JP,74.3,moderate rain,31.9833,130.9833,小林シティホテル パレス
635,Jovellar,PH,78.76,overcast clouds,13.0695,123.5999,Tay Jose AgriTourism Park
636,Trang,TH,76.37,broken clouds,7.5,99.5,Jelly's Home
637,Oyem,GA,70.36,light rain,1.5995,11.5793,Commissariat de police
638,Tampilisan,PH,74.73,overcast clouds,8.0167,122.6833,Vital Nature Farm Philippines
639,Weligama,LK,79.0,overcast clouds,5.9667,80.4167,Weligama Bay Resort
644,Ouadda,CF,68.45,light rain,8.0777,22.4007,
645,Agropoli,IT,73.53,clear sky,40.3469,14.9966,B&B Baia di Trentova
647,Liezen,AT,66.52,few clouds,47.5667,14.2333,Vermietung DANIS
