City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
60,Mar Del Plata,AR,2021-06-03 19:36:09,-38.0023,-57.5575,55.99,58,0,11.01,light rain
61,Sitka,US,2021-06-03 19:39:55,57.0531,-135.33,51.8,71,90,5.75,moderate rain
62,Tommot,RU,2021-06-03 19:39:55,58.9564,126.2925,53.49,75,20,1.61,few clouds
63,Ancud,CL,2021-06-03 19:39:55,-41.8697,-73.8203,54.43,87,100,10.22,light rain
64,Mount Gambier,AU,2021-06-03 19:39:56,-37.8333,140.7667,48.2,87,40,8.05,scattered clouds
65,Tres Arroyos,AR,2021-06-03 19:39:56,-38.3739,-60.2798,60.69,62,99,18.1,overcast clouds
66,Kailua,US,2021-06-03 19:39:56,21.4022,-157.7394,83.07,63,75,8.05,broken clouds
67,Nikolskoye,RU,2021-06-03 19:37:02,59.7035,30.7861,66.09,76,19,5.01,few clouds
68,Andenes,NO,2021-06-03 19:39:57,69.3143,16.1194,59.0,55,0,11.5,clear sky
69,Grand Gaube,MU,2021-06-03 19:39:57,-20.0064,57.6608,74.37,73,15,8.99,light rain
70,Thompson,CA,2021-06-03 19:39:56,55.7435,-97.8558,55.4,41,75,2.3,broken clouds
71,Madanapalle,IN,2021-06-03 19:39:58,13.55,78.5,75.22,80,65,2.86,broken clouds
72,Barrow,US,2021-06-03 19:39:58,71.2906,-156.7887,30.22,86,90,19.57,light rain
73,Coahuayana,MX,2021-06-03 19:39:58,18.7333,-103.6833,82.4,65,90,11.5,overcast clouds
74,Albany,US,2021-06-03 19:37:44,42.6001,-73.9662,75.15,75,96,7.25,overcast clouds
75,Bambous Virieux,MU,2021-06-03 19:39:59,-20.3428,57.7575,74.21,83,75,16.55,light rain
76,Matara,LK,2021-06-03 19:39:59,5.9485,80.5353,78.8,89,100,11.25,overcast clouds
77,Cairns,AU,2021-06-03 19:39:59,-16.9167,145.7667,65.07,100,39,0.0,scattered clouds
78,Chumikan,RU,2021-06-03 19:40:00,54.7183,135.315,35.2,98,100,4.85,overcast clouds
79,Talnakh,RU,2021-06-03 19:40:00,69.4865,88.3972,32.52,99,100,5.59,light snow
80,Iwanai,JP,2021-06-03 19:40:00,42.9744,140.5089,61.27,80,100,12.86,overcast clouds
81,Bengkulu,ID,2021-06-03 19:40:01,-3.8004,102.2655,76.93,91,88,3.13,overcast clouds
82,Sioux Lookout,CA,2021-06-03 19:40:01,50.1001,-91.917,78.8,38,75,6.91,broken clouds
83,Sandakan,MY,2021-06-03 19:40:01,5.8402,118.1179,78.48,88,20,5.01,few clouds
84,Eureka,US,2021-06-03 19:36:37,40.8021,-124.1637,69.21,74,29,5.01,scattered clouds
85,San Cristobal,VE,2021-06-03 19:36:48,7.7669,-72.225,82.58,57,44,5.95,scattered clouds
86,Longyan,CN,2021-06-03 19:40:11,25.1072,117.0225,76.24,96,100,2.42,light rain
87,Tuscaloosa,US,2021-06-03 19:36:27,33.2098,-87.5692,85.78,67,20,10.36,few clouds
88,Esperance,AU,2021-06-03 19:40:12,-33.8667,121.9,53.44,83,0,9.35,clear sky
89,Airai,TL,2021-06-03 19:40:12,-8.9266,125.4092,57.61,91,33,2.98,scattered clouds
90,Katsuura,JP,2021-06-03 19:40:12,35.1333,140.3,72.1,88,98,20.62,overcast clouds
91,Dalbandin,PK,2021-06-03 19:40:13,28.8947,64.4101,90.09,6,0,0.94,clear sky
92,Kavieng,PG,2021-06-03 19:38:26,-2.5744,150.7967,81.41,76,100,4.29,overcast clouds
93,Rio Grande,BR,2021-06-03 19:40:04,-32.035,-52.0986,64.51,60,2,7.0,clear sky
94,Morondava,MG,2021-06-03 19:40:13,-20.2833,44.2833,70.39,87,51,9.06,broken clouds
95,Altay,CN,2021-06-03 19:40:14,47.8667,88.1167,68.5,41,24,4.76,few clouds
96,Komsomolskiy,UZ,2021-06-03 19:40:14,40.4272,71.7189,78.22,30,15,0.67,few clouds
97,Mahanoro,MG,2021-06-03 19:40:14,-19.9,48.8,68.68,88,11,4.29,few clouds
98,Henties Bay,NA,2021-06-03 19:40:15,-22.116,14.2845,72.86,46,0,6.24,clear sky
99,Kruisfontein,ZA,2021-06-03 19:40:15,-34.0033,24.7314,47.88,67,10,4.74,clear sky
100,Carnarvon,AU,2021-06-03 19:40:15,-24.8667,113.6333,51.87,93,3,8.05,clear sky
101,Hilo,US,2021-06-03 19:40:00,19.7297,-155.09,80.8,67,1,4.61,clear sky
102,Rosetta,EG,2021-06-03 19:40:16,31.4044,30.4164,69.8,68,0,6.91,clear sky
103,Atar,MR,2021-06-03 19:40:16,20.5169,-13.0499,96.12,20,92,11.88,overcast clouds
104,Kiruna,SE,2021-06-03 19:40:17,67.8557,20.2251,65.32,37,74,10.36,broken clouds
105,Severo-Kurilsk,RU,2021-06-03 19:40:17,50.6789,156.125,43.45,78,7,9.4,clear sky
106,Dordrecht,NL,2021-06-03 19:40:17,51.81,4.6736,72.05,86,97,6.11,overcast clouds
107,Aklavik,CA,2021-06-03 19:40:18,68.2191,-135.0107,48.92,81,90,5.75,overcast clouds
108,Sisimiut,GL,2021-06-03 19:40:18,66.9395,-53.6735,33.98,90,100,8.77,light rain
109,Priiskovyy,RU,2021-06-03 19:40:18,51.9333,116.6333,47.25,90,12,2.77,few clouds
110,Longyearbyen,SJ,2021-06-03 19:38:01,78.2186,15.6401,35.6,75,40,5.75,scattered clouds
111,Tuktoyaktuk,CA,2021-06-03 19:37:10,69.4541,-133.0374,44.6,70,90,12.66,overcast clouds
112,Lavrentiya,RU,2021-06-03 19:40:19,65.5833,-171.0,32.2,70,98,8.63,overcast clouds
113,Green River,US,2021-06-03 19:40:19,41.5286,-109.4662,85.19,21,3,5.75,clear sky
114,Ilulissat,GL,2021-06-03 19:40:20,69.2167,-51.1,41.0,70,40,9.22,scattered clouds
115,Talaya,RU,2021-06-03 19:40:20,61.3833,152.75,42.91,87,100,2.89,light rain
116,Puri,IN,2021-06-03 19:40:21,19.8,85.85,87.39,81,36,11.03,scattered clouds
117,Arlit,NE,2021-06-03 19:40:21,18.7369,7.3853,98.6,9,87,12.62,overcast clouds
118,Ostrovnoy,RU,2021-06-03 19:40:21,68.0531,39.5131,63.91,53,30,13.8,scattered clouds
119,Ola,RU,2021-06-03 19:40:22,59.5833,151.2833,38.89,93,100,1.36,overcast clouds
120,Kalmunai,LK,2021-06-03 19:40:22,7.4167,81.8167,79.81,84,100,6.85,overcast clouds
121,Ketchikan,US,2021-06-03 19:40:23,55.3422,-131.6461,53.6,76,90,6.91,overcast clouds
122,Tautira,PF,2021-06-03 19:40:23,-17.7333,-149.15,84.0,82,43,15.43,light rain
123,Srandakan,ID,2021-06-03 19:40:23,-7.9386,110.2506,58.73,90,100,4.16,overcast clouds
124,Tangzhai,CN,2021-06-03 19:40:24,34.4328,116.5911,62.74,51,0,8.46,clear sky
125,Te Anau,NZ,2021-06-03 19:40:24,-45.4167,167.7167,47.73,93,100,4.25,overcast clouds
126,Hofn,IS,2021-06-03 19:40:24,64.2539,-15.2082,48.07,83,100,6.2,overcast clouds
127,Cidreira,BR,2021-06-03 19:40:25,-30.1811,-50.2056,62.42,72,0,6.73,clear sky
128,Beringovskiy,RU,2021-06-03 19:40:25,63.05,179.3167,34.63,82,97,4.03,overcast clouds
129,Geraldton,AU,2021-06-03 19:40:25,-28.7667,114.6,48.61,93,0,10.13,clear sky
130,Kahului,US,2021-06-03 19:39:30,20.8947,-156.47,84.97,62,20,17.27,few clouds
131,Belmonte,BR,2021-06-03 19:40:26,-15.8631,-38.8828,81.1,78,2,8.61,clear sky
132,Georgetown,MY,2021-06-03 19:36:07,5.4112,100.3354,80.89,87,20,0.0,few clouds
133,Ayr,GB,2021-06-03 19:40:26,55.4627,-4.6339,60.69,63,20,16.11,few clouds
134,Sao Filipe,CV,2021-06-03 19:40:26,14.8961,-24.4956,74.12,78,8,9.93,clear sky
135,Saint-Philippe,RE,2021-06-03 19:37:36,-21.3585,55.7679,72.95,73,30,13.71,scattered clouds
136,Ixtapa,MX,2021-06-03 19:40:27,20.7,-105.2,83.43,74,90,5.75,overcast clouds
137,Ruiselede,BE,2021-06-03 19:40:27,51.0572,3.3788,64.26,83,41,4.09,scattered clouds
138,Hobart,AU,2021-06-03 19:40:28,-42.8794,147.3294,50.05,64,90,1.01,overcast clouds
139,Stornoway,GB,2021-06-03 19:40:28,58.2093,-6.3865,58.96,82,75,1.14,broken clouds
140,Vestmannaeyjar,IS,2021-06-03 19:40:28,63.4427,-20.2734,48.76,83,100,27.16,overcast clouds
141,Beyneu,KZ,2021-06-03 19:40:29,45.3167,55.2,77.88,51,6,18.59,clear sky
142,Galle,LK,2021-06-03 19:40:29,6.0367,80.217,79.77,86,97,14.56,overcast clouds
143,Tiksi,RU,2021-06-03 19:40:30,71.6872,128.8694,32.4,91,100,5.48,light snow
144,Kodinsk,RU,2021-06-03 19:40:30,58.6881,99.1844,55.6,98,100,2.77,light rain
145,Plettenberg Bay,ZA,2021-06-03 19:40:31,-34.0527,23.3716,55.49,71,17,6.02,few clouds
146,Santa Isabel,BR,2021-06-03 19:40:32,-23.3156,-46.2214,81.7,71,0,5.08,clear sky
147,High Level,CA,2021-06-03 19:40:32,58.5169,-117.136,73.51,49,75,12.33,broken clouds
148,Sri Aman,MY,2021-06-03 19:40:33,1.2376,111.4621,77.0,100,33,0.25,scattered clouds
149,Wajima,JP,2021-06-03 19:40:33,37.4,136.9,64.2,91,100,5.39,light rain
150,Haines Junction,CA,2021-06-03 19:40:34,60.7522,-137.5108,51.91,43,59,14.72,broken clouds
151,Kutum,SD,2021-06-03 19:40:34,14.2,24.6667,87.42,15,96,15.86,overcast clouds
152,Sorland,NO,2021-06-03 19:40:35,67.667,12.6934,57.27,83,6,1.79,clear sky
153,Carazinho,BR,2021-06-03 19:40:35,-28.2839,-52.7864,67.8,55,0,2.91,clear sky
154,Puerto Ayora,EC,2021-06-03 19:36:19,-0.7393,-90.3518,78.8,69,40,13.8,scattered clouds
155,Kota Kinabalu,MY,2021-06-03 19:40:36,5.9749,116.0724,78.78,94,20,2.3,few clouds
156,Buin,CL,2021-06-03 19:40:37,-33.7333,-70.75,77.32,35,100,2.77,overcast clouds
157,Shingu,JP,2021-06-03 19:40:37,33.7333,135.9833,71.91,99,100,9.28,overcast clouds
158,North Bend,US,2021-06-03 19:40:37,43.4065,-124.2243,78.94,76,1,12.66,clear sky
159,Faanui,PF,2021-06-03 19:40:38,-16.4833,-151.75,79.81,80,69,9.69,moderate rain
160,Santander,ES,2021-06-03 19:36:41,43.4647,-3.8044,56.98,96,90,8.99,mist
161,Atuona,PF,2021-06-03 19:40:38,-9.8,-139.0333,78.93,82,66,18.88,light rain
162,Chokurdakh,RU,2021-06-03 19:40:38,70.6333,147.9167,56.14,61,100,5.37,overcast clouds
163,Iracoubo,GF,2021-06-03 19:40:39,5.4802,-53.2011,80.28,87,99,10.4,overcast clouds
164,Kathmandu,NP,2021-06-03 19:40:17,27.7167,85.3167,69.8,94,20,4.61,few clouds
165,Najran,SA,2021-06-03 19:40:39,17.4924,44.1277,84.85,14,76,3.02,broken clouds
166,Kashi,CN,2021-06-03 19:40:40,39.4547,75.9797,71.6,30,20,8.95,few clouds
167,Leningradskiy,RU,2021-06-03 19:40:40,69.3833,178.4167,29.98,80,66,6.2,broken clouds
168,San Jose,US,2021-06-03 19:39:56,37.3394,-121.895,89.02,49,1,0.0,clear sky
169,Clyde River,CA,2021-06-03 19:40:41,70.4692,-68.5914,28.63,93,90,12.66,light snow
170,Klaksvik,FO,2021-06-03 19:40:41,62.2266,-6.589,52.72,90,83,18.77,broken clouds
171,Monastyrshchina,RU,2021-06-03 19:40:41,54.3496,31.838,50.59,80,5,7.23,light rain
172,Lengshuitan,CN,2021-06-03 19:40:42,26.4111,111.5956,65.91,90,100,0.81,overcast clouds
173,Anadyr,RU,2021-06-03 19:40:42,64.75,177.4833,37.4,60,0,11.18,clear sky
174,Bairiki,KI,2021-06-03 19:40:43,1.3292,172.9752,80.6,83,75,3.44,broken clouds
175,Dikson,RU,2021-06-03 19:40:43,73.5069,80.5464,29.98,95,97,14.14,overcast clouds
176,Bredasdorp,ZA,2021-06-03 19:40:44,-34.5322,20.0403,57.27,82,100,4.63,overcast clouds
177,Yenagoa,NG,2021-06-03 19:40:44,4.9247,6.2642,77.59,90,11,4.38,few clouds
178,Giulvaz,RO,2021-06-03 19:40:44,45.5489,20.9844,64.4,77,0,3.44,clear sky
179,Ribeira Grande,PT,2021-06-03 19:40:45,38.5167,-28.7,66.6,63,20,9.22,few clouds
180,Cap Malheureux,MU,2021-06-03 19:36:29,-19.9842,57.6142,74.46,74,24,7.0,light rain
181,Saldanha,ZA,2021-06-03 19:40:45,-33.0117,17.9442,53.65,69,54,5.61,broken clouds
182,Charleston,US,2021-06-03 19:39:51,32.7766,-79.9309,81.0,78,90,14.97,overcast clouds
183,Kloulklubed,PW,2021-06-03 19:40:46,7.0419,134.2556,75.2,100,75,7.61,broken clouds
184,Hami,CN,2021-06-03 19:40:46,42.8,93.45,79.99,11,6,3.18,clear sky
185,Quatre Cocos,MU,2021-06-03 19:40:47,-20.2078,57.7625,74.08,75,56,15.48,light rain
186,Ileza,RU,2021-06-03 19:40:47,61.0533,43.9002,49.39,73,6,4.56,clear sky
187,New Norfolk,AU,2021-06-03 19:40:48,-42.7826,147.0587,50.0,74,82,5.99,broken clouds
188,Erdenet,MN,2021-06-03 19:40:48,49.0333,104.0833,50.4,57,11,2.55,few clouds
189,Brae,GB,2021-06-03 19:40:48,60.3964,-1.353,53.51,88,22,13.73,few clouds
190,Praia Da Vitoria,PT,2021-06-03 19:40:49,38.7333,-27.0667,66.45,68,40,7.65,scattered clouds
191,Ginda,IN,2021-06-03 19:40:49,30.6945,78.4932,60.96,56,3,6.85,clear sky
192,Aranos,NA,2021-06-03 19:40:50,-24.1333,19.1167,51.37,54,0,10.27,clear sky
